# SwarmShield - Ralph Build Progress
# This file is updated by Ralph after each iteration.
# Format: [STORY-ID] [STATUS] [TIMESTAMP] [NOTES]
# ---
# Patterns established:
# - App: Swarmshield / SwarmshieldWeb
# - Binary IDs: @primary_key {:id, :binary_id, autogenerate: true}
# - Timestamps: timestamps(type: :utc_datetime)
# - All enums via Ecto.Enum
# - ETS caches: try/rescue in handle_continue
# - No direct Repo in LiveViews
# - PubSub for real-time updates
# ---
AUTH-001 DONE 2026-02-10 Run mix phx.gen.auth with binary_id - 112 tests pass, credo clean
AUTH-003 DONE 2026-02-10 Create Workspace schema and migration - 132 tests pass, credo clean
AUTH-004 DONE 2026-02-10 Create Role schema with database-driven permissions - 169 tests pass, credo clean
AUTH-005 DONE 2026-02-10 Create Permission schema - 169 tests pass, credo clean
AUTH-006 DONE 2026-02-10 Create RolePermission join table - 169 tests pass, credo clean
AUTH-007 DONE 2026-02-10 Create UserWorkspaceRole junction - 180 tests pass, credo clean
AUTH-012 DONE 2026-02-10 Create AuditEntry schema - 217 tests pass, credo clean
AUTH-008 DONE 2026-02-10 Create Accounts context functions - 253 tests pass, credo clean
AUTH-009 DONE 2026-02-10 Create Authorization module with ETS-backed AuthCache - 282 tests pass, credo clean
AUTH-010 DONE 2026-02-10 Seed default roles and permissions - 282 tests pass, credo clean
AUTH-011 DONE 2026-02-10 Create workspace-scoped LiveView hooks - 303 tests pass, credo clean
AUTH-013 DONE 2026-02-10 Post-login redirect and workspace resolution - 317 tests pass, credo clean
AUTH-014 DONE 2026-02-10 Onboarding flow - create first workspace - 332 tests pass, credo clean
AUTH-015 DONE 2026-02-10 Wire router.ex with live_session blocks and on_mount hooks - 357 tests pass, credo clean
SCHEMA-001 DONE 2026-02-11 Create RegisteredAgent schema - 401 tests pass, credo clean
SCHEMA-002 DONE 2026-02-11 Create AgentEvent schema - 721 tests pass, credo clean
SCHEMA-003 DONE 2026-02-11 Create PolicyRule schema - 721 tests pass, credo clean
SCHEMA-004 DONE 2026-02-11 Create DetectionRule schema - 721 tests pass, credo clean
SCHEMA-005 DONE 2026-02-11 Create PolicyViolation schema - 721 tests pass, credo clean
SCHEMA-006 DONE 2026-02-11 Create AgentDefinition schema - 721 tests pass, credo clean
SCHEMA-007 DONE 2026-02-11 Create PromptTemplate schema - 721 tests pass, credo clean
SCHEMA-008 DONE 2026-02-11 Create Workflow schema - 721 tests pass, credo clean
SCHEMA-009 DONE 2026-02-11 Create WorkflowStep schema - 721 tests pass, credo clean
SCHEMA-010 DONE 2026-02-11 Create ConsensusPolicy schema - 721 tests pass, credo clean
SCHEMA-011 DONE 2026-02-11 Create AnalysisSession schema - 721 tests pass, credo clean
SCHEMA-012 DONE 2026-02-11 Create AgentInstance schema - 721 tests pass, credo clean
SCHEMA-013 DONE 2026-02-11 Create DeliberationMessage schema - 721 tests pass, credo clean
SCHEMA-014 DONE 2026-02-11 Create Verdict schema - 721 tests pass, credo clean
POLICY-001 DONE 2026-02-11 Create Gateway context - 766 tests pass, credo clean
